DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Nasaia,,Lamentar / Pralhear,,Verbo,,,,,Aglutinação: De Nasa (Chorar).,
Lishia,,Festejar / Celebrar,,Verbo,,,,,Aglutinação: De Lisha (Rir).,
Hētia,,Ter pena / Compadecer-se,,Verbo,,,,,Aglutinação: Sentir no Hēt (Coração).,
Minaba,,Concordar,,Verbo,,,,,Aglutinação: Mina (Mente) + Aba (Abrir). Mentes abertas juntas.,
Minklo,,Discordar / Recusar,,Verbo,,,,,Aglutinação: Mina (Mente) + Klo (Fechar).,
Krofia,,Fingir / Iludir,,Verbo,,,,,Aglutinação: De Krofa (Trair).,
Ter saudade,,Ter saudade / Recordar,,Verbo,,,,,Aglutinação: De Mera (Lembrar).,
Obshia,,Ignorar de propósito / Desdenhar,,Verbo,,,,,Aglutinação: De Obsha (Esquecer).,
Sunaia,,Estudar / Investigar,,Verbo,,,,,Aglutinação: De Suna (Saber).,
Desha,,Discutir / Debater,,Verbo,,,,,Nova: Embate de palavras.,
Rasia,,Opor-se a / Criticar,,Verbo,,,,,Aglutinação: De Rasa (Contra).,
Sotia,,Espionar / Escutar atrás da porta,,Verbo,,,,,Aglutinação: De Sota (Ouvir).,
Nayaia,,Encarar / Fitar fixamente,,Verbo,,,,,Aglutinação: De Naya (Ver).,
Heia,,Tropeçar / Cometer erro,,Verbo,,,,,Aglutinação: De He (Cair).,
Ahaia,,Triunfar / Sobreviver / Vencer,,Verbo,,,,,Aglutinação: De Aha (Levantar).,
Bokia,,Fugir / Escapar,,Verbo,,,,,Aglutinação: De Boka (Ir/Partir).,
Eiana,,Acolher / Hospedar,,Verbo,,,,,Aglutinação: Eia (Vir) + Na (Bem).,
Kotana,,Devolver / Restaurar,,Verbo,,,,,Aglutinação: Koto (Voltar) + Na (Bem).,
Tiana,,Perdoar (Absolver dívida),,Verbo,,,,,Aglutinação: Tia (Dar) + Na (Bem).,
Jiana,,Aceitar (Oferta ou destino),,Verbo,,,,,Aglutinação: Jia (Pegar) + Na.,
Falia,,Flutuar / Boiar,,Verbo,,,,,Aglutinação: De Fola (Voar na água).,
Moshan,,Mancar / Rastejar,,Verbo,,,,,Aglutinação: Mosha (Caminhar) + An (Mal/Não).,
Piraia,,Assobiar / Chamar com som,,Verbo,,,,,Nova: Som agudo com a boca.,
Vetaia,,Subornar / Comprar alguém,,Verbo,,,,,Aglutinação: De Veta (Vender a honra).,
Koaia,,Desperdiçar / Gastar à toa,,Verbo,,,,,Aglutinação: De Koa (Comprar ruim).,
Kabaia,,Camuflar / Disfarçar,,Verbo,,,,,Aglutinação: De Kaba (Manto).,
Shibaia,,Misturar / Mesclar,,Verbo,,,,,Aglutinação: De Shiba (Unir).,
Fotaia,,Rachar / Fissurar / Quebrar aliança,,Verbo,,,,,Aglutinação: De Fota (Dividir).,
Talaia,,Jurar solene / Prometer,,Verbo,,,,,Aglutinação: De Tala (Promessa).,
Mazaia,,Julgar / Dar sentença,,Verbo,,,,,Aglutinação: De Maza (Lei/Justiça).,
Mazato,,Tribunal / Corte,,Subst. Masc.,,,,,Maza (Justiça) + To (Território/Local).,
Mazamato,,Juiz / Magistrado,,Subst. Masc.,,,,,Maza (Justiça) + Mato (Guerreiro/Defensor).,
Morato,,Prisioneiro / Detento,,Subst. Masc.,,,,,Derivado de Mora (Prender).,
Sateramaza,,Multa / Indenização,,Subst. Fem.,,,,,Moeda da justiça.,
Talamaa,,Contrato / Acordo escrito,,Subst. Neutro,,,,,Promessa (Tala) verdadeira (Maa).,
Zuvakro,,Contrabandista / Falsário,,Subst. Masc.,,,,,Zuva (Roubar) + Krofa (Enganar).,
Tukaia,,Alfândega / Tesouraria,,Subst. Fem.,,,,,Tuka (Imposto) + Aia (Casa).,
Koda,,Código / Regra estrita,,Subst. Fem.,,,,,Nova raiz.,
Veto,,Proibição / Tabu,,Subst. Masc.,,,,,Nova raiz.,
Gala,,Fiança / Garantia,,Subst. Fem.,,,,,Nova raiz.,
Jolmazia,,Falso testemunho / Perjúrio,,Subst. Neutro,,,,,Mentira na justiça.,
Sajamaz,,Veredito / Sentença,,Subst. Neutro,,,,,A fala da lei.,
Uroti,,Cidadão / Súdito,,Subst. Masc.,,,,,O povo do Rei (Uro).,
Zavajia,,Cobrador de impostos,,Subst. Masc.,,,,,Aquele que pega a riqueza.,
Krofasaja,,Traição (Política),,Subst. Fem.,,,,,Falar para trair.,
Pari,,Medida / Tamanho,,Subst. Fem.,,,,,Nova raiz para medições.,
Sulo,,Peso,,Subst. Masc.,,,,,Nova raiz para gravidade/peso.,
Vani,,Distância,,Subst. Fem.,,,,,Nova raiz para viagens.,
Ratapari,,Um passo / Medida de pé,,Subst. Masc.,,,,,Medida comum (Rata + Pari).,
Huovani,,Dia de viagem,,Subst. Neutro,,,,,A distância que se anda em um dia.,
Rompawota,,Primavera / Época do plantio,,Subst. Fem.,,,,,Ano verde (Wota).,
Rompahoma,,Verão / Época do calor,,Subst. Fem.,,,,,Ano quente (Homa).,
Rompakosa,,Outono / Época das folhas secas,,Subst. Fem.,,,,,Ano seco (Kosa).,
Rompajafa,,Inverno / Época do gelo,,Subst. Fem.,,,,,Ano frio (Jafa).,
Siko,,Foice / Lâmina curva,,Subst. Masc.,,,,,Nova raiz. Para colheita.,
Bitu,,Pá / Cavadeira,,Subst. Fem.,,,,,Nova raiz. Ferramenta de terra.,
Kaiaha,,Enxada,,Subst. Fem.,,,,,Levantar (Aha) a terra (Kaia).,
Shēnkla,,Cunha de madeira,,Subst. Fem.,,,,,Quebrar (Kla) com madeira.,
Onamata,,Marreta / Malho de pedra,,Subst. Masc.,,,,,Martelo de pedra.,
Wotabitu,,Ancinho / Rastelo,,Subst. Masc.,,,,,A pá do verde.,
Rimi,,Especiaria / Tempero forte,,Subst. Neutro,,,,,Nova raiz.,
Gumi,,Cebola / Alho (Bulbo),,Subst. Neutro,,,,,Nova raiz.,
Faso,,Feijão / Grão duro,,Subst. Masc.,,,,,Nova raiz.,
Noka,,Sopa cremosa / Ensopado grosso,,Subst. Fem.,,,,,Nova raiz.,
Surahlela,,Manteiga / Creme,,Subst. Neutro,,,,,Leite (Surah) mole (Lela).,
Oikawota,,Salada / Verdura fresca,,Subst. Neutro,,,,,Comida verde.,
Banmōa,,Suco de fruta / Xarope doce,,Subst. Neutro,,,,,Água de tâmara/fruta.,
Hektaka,,Cevada / Trigo de cerveja,,Subst. Masc.,,,,,A base da cerveja.,
Fiabera,,Frango / Ave de corte,,Subst. Neutro,,,,,Carne jovem/nova (branca).,
Fiaposh,,Carne de porco/javali,,Subst. Neutro,,,,,Carne de Posh.,
Fiateb,,Filé de peixe,,Subst. Neutro,,,,,Carne de peixe.,
Oikajora,,Pão duro / Biscoito de viagem,,Subst. Masc.,,,,,Comida dura (para resistir viagens).,
Oikabana,,Bolo / Pão doce,,Subst. Neutro,,,,,Pão de fruta.,
Kemmōa,,Água salgada / Salmoura,,Subst. Neutro,,,,,Água de sal (Kem).,
Oikatoba,,Rolo de massa,,Subst. Masc.,,,,,Ferramenta de empurrar comida.,
Dori,,Alfaiate / Costureiro,,Subst. Masc.,,,,,Nova raiz.,
Mula,,Moinho (Construção),,Subst. Masc.,,,,,Nova raiz.,
Muli,,Moleiro (Trabalhador),,Subst. Masc.,,,,,Derivado de Mula.,
Hebsatami,,Tecelão / Fiandeira,,Subst. Masc.,,,,,Fazedor de tecido.,
Zajiata,,Vidreiro / Soprador de vidro,,Subst. Masc.,,,,,Que trabalha o vidro.,
Nubatami,,Ourives / Lapidador,,Subst. Masc.,,,,,Fazedor de ouro.,
Shēnshota,,Lenhador,,Subst. Masc.,,,,,Cortador de árvores.,
Mōajia,,Pescador de rede,,Subst. Masc.,,,,,Aquele que pega da água.,
Hatojia,,Domador / Treinador de cavalos,,Subst. Masc.,,,,,"Aquele que ""pega"" o cavalo.",
Varagria,,Cartorário / Registrador,,Subst. Masc.,,,,,Que escreve no papel (Vara).,
Tokatami,,Fazedor de velas/lamparinas,,Subst. Masc.,,,,,Criador de tochas.,
Ratisata,,Sapateiro,,Subst. Masc.,,,,,Trabalhador de calçado.,
Aromashota,,Curtidor / Trabalhador de couro,,Subst. Masc.,,,,,Cortador de pele.,
Koiauila,,Lavrador / Fazendeiro rico,,Subst. Masc.,,,,,Dono do campo.,
Onashota,,Pedreiro / Escultor,,Subst. Masc.,,,,,Cortador de pedra.,
Feto,,Samambaia / Planta úmida,,Subst. Fem.,,,,,Nova raiz.,
Vika,,Trepadeira / Hera selvagem,,Subst. Fem.,,,,,Nova raiz.,
Soru,,Cacto / Planta de deserto,,Subst. Masc.,,,,,Nova raiz.,
Peta,,Pétala de flor,,Subst. Fem.,,,,,Nova raiz.,
Wotikosa,,Folha seca,,Subst. Fem.,,,,,Folha seca.,
Hrērawoba,,Lírio / Flor branca sagrada,,Subst. Fem.,,,,,Flor branca.,
Hrēratresh,,Rosa / Flor de sangue,,Subst. Fem.,,,,,Flor vermelha (aglutinada sem 'a' final).,
Nunaia,,Gengibre / Raiz curativa,,Subst. Fem.,,,,,A raiz que dá vida.,
Shēntresh,,Pau-brasil / Madeira vermelha,,Subst. Fem.,,,,,Madeira vermelha de luxo.,
Shēnkama,,Ébano / Madeira negra,,Subst. Fem.,,,,,Madeira negra de magos.,
Omahrēra,,Lótus / Flor de pântano,,Subst. Fem.,,,,,Flor da lama.,
Jafrahrēra,,Flor de gelo / Planta de inverno,,Subst. Fem.,,,,,Flor que resiste à neve.,
Alkashēn,,Árvore de cristal,,Subst. Fem.,,,,,Árvore preciosa (mito ou magia).,
Tiushēn,,Chorão / Árvore de vento,,Subst. Fem.,,,,,Árvore cujos galhos balançam.,
Mōanuna,,Vitória-régia / Planta aquática,,Subst. Fem.,,,,,Raiz de água.,
Jiga,,Pular (para desviar),,Verbo,,,,,Nova raiz. Movimento rápido.,
Tiru,,Atirar (uma flecha ou pedra),,Verbo,,,,,Nova raiz. Movimento de projétil.,
Kufa,,Bater / Socar,,Verbo,,,,,Nova raiz. Impacto sem espada.,
Nahtaba,,Desarmar / Quebrar defesa,,Verbo,,,,,Nahta (Proteger) + Aba (Abrir).,
Mishaklo,,Render-se / Terminar combate,,Verbo,,,,,Misha (Lutar) + Klo (Fechar).,
Poshia,,Grunhir / Fazer barulho bruto,,Verbo,,,,,Aglutinação de Posh (Javali).,
Nefaia,,Embelezar / Decorar,,Verbo,,,,,Fazer ficar belo (Nefa).,
Kamaba,,Apagar a luz (Escurecer),,Verbo,,,,,Kama (Preto) + Aba (Abrir a escuridão).,
Wobaklo,,Iluminar (Acender a luz),,Verbo,,,,,O oposto (Trazer o branco).,
Suraia,,Esvaziar / Secar,,Verbo,,,,,Fazer ficar vazio (Sura).,
Lim,,Apenas um / Único,,Advérbio,,,,,Nova raiz de precisão.,
Zetoa,,Facilmente / Liso como óleo,,Advérbio,,,,,Aglutinação de Zeto (Azeite).,
Vania,,Longamente (Tempo ou espaço),,Advérbio,,,,,Aglutinação de Vani (Distância).,
Jorashi,,Brutalmente / Com violência,,Advérbio,,,,,Jora (Duro) + Ashi (Certamente).,
Maa-en,,Na verdade / De fato,,Advérbio,,,,,Maa (Verdade) + En (Em).,
Holoan,,Quase nada,,Pronome,,,,,Holo (Tudo) + An (Não).,
Alnim,,Qualquer outra pessoa,,Pronome,,,,,Alya (Outro) + Nim (Alguém).,
Toshan,,Em lugar nenhum,,Advérbio,,,,,To (Lugar) + Shan (Menos/Sem).,
Toholo,,Em todo lugar,,Advérbio,,,,,To (Lugar) + Holo (Tudo).,
Tunholo,,Sempre (Em todos os tempos),,Advérbio,,,,,Tuna (Quando) + Holo (Tudo).,
Etban,,Sem motivo / À toa,,Advérbio,,,,,Etba (Por que) + An (Não).,
Hosan,,De jeito nenhum,,Advérbio,,,,,Hosa (Como) + An (Não).,
Mekana,,Provavelmente / É bem possível,,Advérbio,,,,,Meka (Talvez) + Na (Bem/Muito).,
Zania,,Inútil / Sem valor,,Adjetivo,,,,,Relativo a Zan (Nada).,
Ipana,,Genuíno / Autêntico,,Adjetivo,,,,,Derivado de Ipa (Próprio).,
Romi,,Homem / Humano,,Subst. Masc.,,,,,Raiz Copta direta: Rōmi.,
Shime,,Mulher / Senhora comum,,Subst. Fem.,,,,,Raiz Copta direta: S-hime.,
Hoba,,Trabalho braçal / Ofício,,Subst. Neutro,,,,,Raiz Copta: Hōb.,
Nabi,,Pecado / Crime sagrado,,Subst. Masc.,,,,,Raiz Copta: Nabi.,
Taio,,Honra / Reputação,,Subst. Fem.,,,,,Raiz Copta: Taeio.,
Smai,,Benção / Prece atendida,,Subst. Fem.,,,,,Raiz Copta: Smaī.,
Shilel,,Oração / Ritual de voz,,Subst. Masc.,,,,,Raiz Copta: Shlēl.,
Mesha,,Multidão / O Povo,,Subst. Masc.,,,,,Raiz Copta: Mēsh.,
Boki,,Servo do rei / Empregado,,Subst. Masc.,,,,,Raiz Copta: Bōki.,
Lashan,,Prefeito / Líder da vila,,Subst. Masc.,,,,,Raiz Copta: Lashane.,
Rashi,,Alegria festiva / Festa,,Subst. Fem.,,,,,Raiz Copta: Rashi (Felicidade coletiva).,
Pei,,Beijo (de respeito ou amor),,Subst. Masc.,,,,,Raiz Copta: Pei.,
Sopa,,"Vez / Turno (Ex: ""Minha vez"")",,Subst. Fem.,,,,,Raiz Copta: Sop.,
Tako,,Destruição / Ruína,,Subst. Masc.,,,,,Raiz Copta: Tako.,
Uoba,,Puro / Limpo espiritualmente,,Adjetivo,,,,,Raiz Copta: Uōb (Santo/Puro).,
Joi,,Barco pequeno (Bote),,Subst. Masc.,,,,,Raiz Copta: Joi.,
Shoi,,Altar menor / Santuário caseiro,,Subst. Masc.,,,,,Raiz Copta: Shouei.,
Hloi,,Navio de guerra,,Subst. Fem.,,,,,Raiz Copta: Hloi.,
Romitaio,,Herói / Homem honrado,,Subst. Masc.,,,,,Aglutinação: Romi + Taio.,
Shimesmai,,Curandeira abençoada,,Subst. Fem.,,,,,Aglutinação: Shime + Smai.,
Yomakori,,Abismo marinho,,Subst. Masc.,,,,,Yoma (Mar) + Kori (Fundo/Âmago).,
Mōasuli,,Esteira (O rastro do barco),,Subst. Fem.,,,,,Mōa (Água) + Suli (Rastro).,
Tiuvela,,Vela principal,,Subst. Fem.,,,,,Tiu (Vento) + Vela.,
Yomatasha,,Carta náutica,,Subst. Fem.,,,,,Yoma (Mar) + Tasha (Mapa náutico).,
Uonshayoma,,Lobo do mar (Veterano),,Subst. Masc.,,,,,Uonsha (Lobo) + Yoma (Mar).,
Yararifu,,Mastro principal do navio,,Subst. Masc.,,,,,Yara (Navio) + Rifu (Mastro).,
Yomakina,,Tempestade oceânica mortal,,Subst. Fem.,,,,,Yoma (Mar) + Kina (Perigo).,
Lēsyoma,,Correnteza marítima,,Subst. Neutro,,,,,Lēs (Correnteza) + Yoma (Mar).,
Yomabaza,,Porto comercial,,Subst. Fem.,,,,,Yoma (Mar) + Baza (Mercado).,
Sokiaia,,Cabana de pescador/praia,,Subst. Fem.,,,,,Sokia (Praia) + Aia (Casa).,
Tebtahana,,Pescaria em alto mar,,Subst. Fem.,,,,,Tebta (Peixe) + Hana (Caçar).,
Mōashota,,Navegar rápido,,Verbo,,,,,Mōa (Água) + Shota (Fatiar/Cortar).,
Iabtiu,,Vento leste (Bom para viajar),,Subst. Masc.,,,,,Iab (Leste) + Tiu (Vento).,
Amentiu,,Vento oeste,,Subst. Masc.,,,,,Ament (Oeste) + Tiu (Vento).,
Mehtitiu,,Vento norte (Frio),,Subst. Masc.,,,,,Mehti (Norte) + Tiu (Vento).,
Rasitiu,,Vento sul,,Subst. Masc.,,,,,Rasi (Sul) + Tiu (Vento).,
Yomajaja,,Pirata sanguinário,,Subst. Masc.,,,,,Yoma (Mar) + Jaja (Inimigo).,
Yomasura,,Naufrágio,,Subst. Masc.,,,,,Yoma (Mar) + Sura (Morte).,
Khenmato,,Soldado anfíbio / Fuzileiro,,Subst. Masc.,,,,,Khen (Bote) + Mato (Soldado).,
Hloimisha,,Batalha naval,,Subst. Fem.,,,,,Hloi (Navio de guerra) + Misha (Batalhar).,
Muki,,Tristeza espiritual profunda,,Subst. Fem.,,,,,Raiz Copta: Mokhe.,
Teli,,Gota de veneno / Poção fatal,,Subst. Fem.,,,,,Raiz Copta: Tili (Gota).,
Nomi,,Praga / Doença terrível,,Subst. Fem.,,,,,Raiz Copta: Nomi.,
Foshi,,Coração morto / Cadáver intacto,,Subst. Masc.,,,,,Raiz Copta: Pōsh.,
Muka,,Tortura / Sofrimento contínuo,,Subst. Fem.,,,,,Raiz Copta: Mkah.,
Shibi,,Metamorfose mágica,,Subst. Fem.,,,,,Raiz Copta: Shibi (Mudar forma).,
Hika,,Feitiço rápido / Truque,,Subst. Masc.,,,,,Raiz Copta: Hika (Magia rústica).,
Dervakash,,Maldição de dor infinita,,Subst. Fem.,,,,,Derva (Maldição) + Kash (Dor).,
Kakiheka,,Magia negra profunda,,Subst. Fem.,,,,,Kaki (Trevas) + Heka (Magia).,
Munatami,,Necromancia profana,,Subst. Fem.,,,,,Muna (Morte) + Tamia (Criar).,
Senofatia,,Sacrifício de sangue,,Subst. Masc.,,,,,Senofa (Sangue) + Tia (Dar).,
Krukka,,Alma de monstro (Possessão),,Subst. Fem.,,,,,Kruk (Fera) + Ka (Alma).,
Hētsura,,Crueldade (Falta de emoção),,Subst. Fem.,,,,,Hēt (Coração) + Sura (Vazio).,
Minasura,,Coma mágico / Morte mental,,Subst. Fem.,,,,,Mina (Mente) + Sura (Morto).,
Balabela,,Maldição da cegueira,,Subst. Fem.,,,,,Bala (Olho) + Bela (Cego).,
Jomakaki,,Livro proibido / Grimório negro,,Subst. Neutro,,,,,Joma (Livro) + Kaki (Trevas).,
Hapasura,,Ocultação fatal / Segredo de morte,,Subst. Fem.,,,,,Hapa (Segredo) + Sura (Morte).,
Dervato,,Terra amaldiçoada / Ermos,,Subst. Masc.,,,,,Derva (Maldição) + To (Território).,
Kakiroa,,Voz dos espíritos malignos,,Subst. Fem.,,,,,Kaki (Trevas) + Roa (Boca).,
Teliwoma,,Envenenamento (pela comida),,Subst. Masc.,,,,,Teli (Veneno) + Woma (Comer).,
Tobe,,Tijolo,,Subst. Masc.,,,,,Raiz Copta: Tōb.,
Jali,,Telhado / Cobertura,,Subst. Neutro,,,,,Raiz Copta: Djali.,
Keli,,Portão de ferro blindado,,Subst. Masc.,,,,,Raiz Copta: Keli (Fechadura grossa).,
Sani,,Aço / Ferro purificado,,Subst. Masc.,,,,,Raiz Copta: Sani.,
Homi,,Argila / Barro de modelar,,Subst. Masc.,,,,,Raiz Copta: Homi.,
Soti,,Muro de proteção alto,,Subst. Fem.,,,,,Raiz Copta: Sobt.,
Koti,,Obra / Estrutura grande,,Subst. Fem.,,,,,Raiz Copta: Kōt (Construir).,
Tobeaia,,Casa de tijolos (Resistente),,Subst. Fem.,,,,,Tobe (Tijolo) + Aia (Casa).,
Sanisifa,,Espada de aço puro,,Subst. Fem.,,,,,Sani (Aço) + Sifa (Espada).,
Zajiuola,,Janela de vitral cara,,Subst. Fem.,,,,,Zaji (Vidro) + Uola (Janela).,
Puriasoti,,Muralha externa do castelo,,Subst. Fem.,,,,,Puria (Castelo) + Soti (Muralha alta).,
Valiskeli,,Portão encravado na montanha,,Subst. Masc.,,,,,Valis (Montanha) + Keli (Portão de ferro).,
Turiaartē,,Torre suprema dos magos,,Subst. Fem.,,,,,Turia (Torre) + Artē (Alto).,
Sheatobe,,Bloco de madeira p/ piso,,Subst. Masc.,,,,,Shea (Madeira) + Tobe (Tijolo).,
Onatobe,,Bloco de pedra lavrada,,Subst. Masc.,,,,,Ona (Pedra) + Tobe (Tijolo).,
Kotimato,,Engenheiro de guerra / Cerco,,Subst. Masc.,,,,,Koti (Construir) + Mato (Soldado).,
Hamshakoti,,Arquiteto / Mestre de Obras,,Subst. Masc.,,,,,Hamsha (Construtor) + Koti (Obra).,
Lakaia,,Palafita / Casa no lago,,Subst. Fem.,,,,,Laka (Lago) + Aia (Casa).,
Hiraona,,Estrada de pedra pavimentada,,Subst. Fem.,,,,,Hira (Estrada) + Ona (Pedra).,
Pulaia,,Salão principal de banquetes,,Subst. Fem.,,,,,Pula (Grande entrada) + Aia (Casa).,
Nofi,,Respirar / Descansar,,Verbo,,,,,Raiz Copta: Nifi.,
Tashi,,Multiplicar / Enriquecer,,Verbo,,,,,Raiz Copta: Tasho.,
Muti,,Chamar pelo nome / Invocar,,Verbo,,,,,Raiz Copta: Moute.,
Roki,,Tostar / Queimar sem fogo,,Verbo,,,,,Raiz Copta: Rōkh.,
Fai,,Carregar peso longo / Suportar,,Verbo,,,,,Raiz Copta: Fai.,
Holi,,Voar / Fugir depressa,,Verbo,,,,,Raiz Copta: Hōl.,
Joki,,Terminar / Completar uma meta,,Verbo,,,,,Raiz Copta: Jōk.,
Oushi,,Desejar intensamente,,Verbo,,,,,Raiz Copta: Ouōsh (Mais forte que Ua).,
Hopia,,Esconderijo (Ação de ir para lá),,Verbo,,,,,Variação de Hopa + lugar.,
Tomi,,Trancar a porta / Barrar,,Verbo,,,,,Raiz Copta: Tōm.,
Sopi,,Habitar / Residir num local,,Verbo,,,,,Raiz Copta: Shōpe.,
Pohi,,Alcançar um limite / Tocar o fim,,Verbo,,,,,Raiz Copta: Pōh.,
Womajoki,,Terminar a refeição (Satisfeito),,Verbo,,,,,Woma (Comer) + Joki (Completar).,
Hirafai,,Carregador de estrada / Mensageiro,,Subst. Masc.,,,,,Hira (Estrada) + Fai (Carregar).,
Rinamuti,,Convocação oficial do rei,,Subst. Fem.,,,,,Rina (Nome) + Muti (Chamar).,
Mōaroki,,Ferver água,,Verbo,,,,,Mōa (Água) + Roki (Tostar/Esquentar).,
Sopikoia,,Morar na fazenda/campo,,Verbo,,,,,Sopi (Habitar) + Koia (Campo).,
Hobajoki,,Concluir o trabalho,,Verbo,,,,,Hoba (Trabalho) + Joki (Terminar).,
Lashansaja,,Discursar para a multidão,,Verbo,,,,,Lashan (Líder) + Saja (Falar).,
Romitako,,Assassinar multidão (Massacre),,Verbo,,,,,Romi (Homens) + Tako (Destruição).,
Meto,,Coisa / Objeto / Assunto,,Subst. Neutro,,,,,"Palavra mais comum para ""algo"".",
Jina,,Pergunta,,Subst. Fem.,,,,,Raiz nova.,
Paja,,Resposta / Solução,,Subst. Fem.,,,,,Raiz nova.,
Kasi,,Difícil / Complicado,,Adjetivo,,,,,Som duro e tenso.,
Moli,,Fácil / Simples,,Adjetivo,,,,,Som suave.,
Fari,,Maneira / Jeito / Método,,Subst. Masc.,,,,,"""O jeito de fazer as coisas"".",
Bani,,Círculo / Roda redonda,,Subst. Fem.,,,,,Forma geométrica.,
Goji,,Pedaço / Parte de algo,,Subst. Masc.,,,,,Fatiar o todo.,
Luki,,Forma / Aparência,,Subst. Fem.,,,,,O visual.,
Basi,,Base / Fundo / Chão,,Subst. Fem.,,,,,Onde tudo se apoia.,
Foti,,Lado / Direção,,Subst. Masc.,,,,,"""Vá para esse lado"".",
Kimi,,Cor / Tom,,Subst. Fem.,,,,,Derivado do copta antigo.,
Tari,,Jogo / Brincadeira,,Subst. Masc.,,,,,Diversão pura.,
Sori,,Culpa / Erro / Falha,,Subst. Fem.,,,,,Responsabilidade negativa.,
Voji,,Certo / Exato / Correto,,Adjetivo,,,,,Para concordar com algo.,
Poki,,Errado / Incorreto,,Adjetivo,,,,,O oposto de Voji.,
Hati,,Cedo / Adiantado,,Advérbio,,,,,Chegar antes da hora.,
Luti,,Tarde / Atrasado,,Advérbio,,,,,Chegar depois da hora.,
Gani,,Espaço em branco / Vácuo,,Subst. Neutro,,,,,Um quarto vazio.,
Teba,,Caixa / Recipiente / Baú,,Subst. Fem.,,,,,Onde se guarda o Meto.,
Lafi,,Ferramenta / Utensílio,,Subst. Fem.,,,,,Para consertos e obras.,
Sami,,Fio / Cordão fino,,Subst. Masc.,,,,,Menor que Noha (Corda).,
Moji,,Mistura / Mexido,,Subst. Neutro,,,,,Muitas coisas juntas.,
Tasi,,Linha / Fila de pessoas,,Subst. Fem.,,,,,Ordem e organização.,
Bori,,Borda / Margem,,Subst. Fem.,,,,,O limite de uma mesa ou rio.,
Guri,,Criança / Bebê,,Subst. Neutro,,,,,Menor e mais frágil que Alu.,
Lari,,Doce / Agradável,,Adjetivo,,,,,Sensação prazerosa.,
Masi,,Nascido / Nato,,Adjetivo,,,,,A origem de alguém.,
Tori,,Galho / Ramo grosso,,Subst. Masc.,,,,,Parte da Shēn (Árvore).,
Vori,,Fruto (Qualquer um),,Subst. Neutro,,,,,O que a terra dá.,
Koli,,Buraco / Fenda / Cova,,Subst. Masc.,,,,,Uma abertura no chão.,
Gari,,Vaso / Pote de barro,,Subst. Masc.,,,,,Para guardar água.,
Bari,,Cesta / Cesto de palha,,Subst. Fem.,,,,,Para colheitas.,
Miri,,Presente / Dádiva,,Subst. Neutro,,,,,Algo dado sem custo.,
Tali,,Costume / Hábito da tribo,,Subst. Masc.,,,,,O que se faz sempre.,
Sali,,Palavra / Termo solto,,Subst. Fem.,,,,,Menor que uma frase.,
Hili,,Asa / Penugem,,Subst. Fem.,,,,,O que faz o Hala voar.,
Gili,,Escama (de peixe ou dragão),,Subst. Fem.,,,,,Armadura natural.,
Mili,,Légua / Grande distância,,Subst. Fem.,,,,,Medida longa de viagem.,
Vili,,Aldeia / Vila pequena,,Subst. Fem.,,,,,Menor que a capital.,
Sili,,Assento de madeira / Banco,,Subst. Masc.,,,,,Mais simples que Sita.,
Dili,,Prego / Pino / Estaca,,Subst. Masc.,,,,,Ferramenta de junção.,
Zili,,Sujeira / Lixo / Poeira,,Subst. Fem.,,,,,O que precisa ser limpo.,
Kesi,,Metade / Meio a meio,,Subst. Fem.,,,,,Dividir o Goji.,
Nuvi,,Costura / Ponto de tecido,,Subst. Fem.,,,,,O que o Dori faz.,
Fuki,,Bolha / Gota de água,,Subst. Fem.,,,,,O pingo isolado.,
Tuki,,Fragmento / Caco quebrado,,Subst. Masc.,,,,,Resto do Zaji (Vidro).,
Maki,,Engenhoca / Máquina rústica,,Subst. Fem.,,,,,Invenção dos Hamsha.,
Zuki,,Soco / Golpe sem arma,,Subst. Masc.,,,,,Violência pura de taverna.,
Rivi,,Margem do rio / Barranco,,Subst. Fem.,,,,,A terra que toca a água.,
Ushēbera,,Aurora / Fim da madrugada,,Subst. Fem.,,,,,Ushē (Noite) + Bera (Nova).,
Huobera,,Manhã cedo,,Subst. Fem.,,,,,Huo (Dia) + Bera (Novo).,
Huopasa,,Tarde / Entardecer,,Subst. Fem.,,,,,Huo (Dia) + Pasa (Velho).,
Metoashi,,Fato / Certeza absoluta,,Subst. Neutro,,,,,Meto (Coisa) + Ashi (Certa).,
Metoku,,Problema / Infortúnio,,Subst. Neutro,,,,,Meto (Coisa) + Ku (Ruim).,
Metoasha,,Enigma / Mistério não resolvido,,Subst. Neutro,,,,,Meto (Coisa) + Asha (Qual/O que).,
Jinaku,,Interrogatório doloroso,,Subst. Fem.,,,,,Jina (Pergunta) + Ku (Ruim).,
Pajana,,Solução perfeita,,Subst. Fem.,,,,,Paja (Resposta) + Na (Boa).,
Kasimeto,,Dificuldade imensa,,Subst. Fem.,,,,,Kasi (Difícil) + Meto (Coisa).,
Molimeto,,Tarefa fácil / Barbada,,Subst. Fem.,,,,,Moli (Fácil) + Meto (Coisa).,
Fariwoba,,Instrução clara / Método óbvio,,Subst. Masc.,,,,,Fari (Método) + Woba (Claro).,
Baniona,,Roda de pedra maciça,,Subst. Fem.,,,,,Bani (Roda) + Ona (Pedra).,
